LineId,Device,year,month,day,Time,Content,EventId,EventTemplate,ParameterList
1,cup,2020,02,29,00:03:40,1j7pbY-0008Ht-Oi <= kelsey@mail.cup.com U=www-data P=local S=2324 id=20200229000340.Horde.GZ48cGJO82V79Bod2zWze3R@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7pbY-0008Ht-Oi', '<= kelsey@mail.cup.com', 'www-data', 'local', '2324 id=20200229000340.Horde.GZ48cGJO82V79Bod2zWze3R@mail.cup.com']"
2,cup,2020,02,29,00:03:40,1j7pbY-0008Ht-Oi => latrice <latrice@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7pbY-0008Ht-Oi', '=> latrice <latrice@mail.cup.com>', 'local_user', 'mail_spool']"
3,cup,2020,02,29,00:03:40,1j7pbY-0008Ht-Oi => maile <maile@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7pbY-0008Ht-Oi', '=> maile <maile@mail.cup.com>', 'local_user', 'mail_spool']"
4,cup,2020,02,29,00:03:40,1j7pbY-0008Ht-Oi Completed,4695c7f2,<*> Completed,['1j7pbY-0008Ht-Oi']
5,cup,2020,02,29,00:04:23,1j7pcF-0008Ic-AW <= karri@mail.cup.com U=www-data P=local S=1370 id=20200229000423.Horde.zTR6H5WsDEhVuP5_htB0eUC@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7pcF-0008Ic-AW', '<= karri@mail.cup.com', 'www-data', 'local', '1370 id=20200229000423.Horde.zTR6H5WsDEhVuP5_htB0eUC@mail.cup.com']"
6,cup,2020,02,29,00:04:23,1j7pcF-0008Ic-AW => georgie <georgie@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7pcF-0008Ic-AW', '=> georgie <georgie@mail.cup.com>', 'local_user', 'mail_spool']"
7,cup,2020,02,29,00:04:23,1j7pcF-0008Ic-AW Completed,4695c7f2,<*> Completed,['1j7pcF-0008Ic-AW']
8,cup,2020,02,29,00:04:25,Start queue run: pid=31912,86cf1be4,Start queue run: pid=<*>,['31912']
9,cup,2020,02,29,00:04:25,End queue run: pid=31912,3c82302c,End queue run: pid=<*>,['31912']
10,cup,2020,02,29,00:05:31,1j7pdL-0008J0-Ph <= karri@mail.cup.com U=www-data P=local S=1098 id=20200229000531.Horde.QgHry8gUHCHu_A6dJkCayVd@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7pdL-0008J0-Ph', '<= karri@mail.cup.com', 'www-data', 'local', '1098 id=20200229000531.Horde.QgHry8gUHCHu_A6dJkCayVd@mail.cup.com']"
11,cup,2020,02,29,00:05:32,1j7pdL-0008J0-Ph => bertie <bertie@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7pdL-0008J0-Ph', '=> bertie <bertie@mail.cup.com>', 'local_user', 'mail_spool']"
12,cup,2020,02,29,00:05:32,1j7pdL-0008J0-Ph => kelsey <kelsey@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7pdL-0008J0-Ph', '=> kelsey <kelsey@mail.cup.com>', 'local_user', 'mail_spool']"
13,cup,2020,02,29,00:05:32,1j7pdL-0008J0-Ph Completed,4695c7f2,<*> Completed,['1j7pdL-0008J0-Ph']
14,cup,2020,02,29,00:05:54,1j7pdi-0008JH-Up <= della@mail.cup.com U=www-data P=local S=1362 id=20200229000554.Horde.aWcJpV6Hqlt-_-PPEEqqf4C@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7pdi-0008JH-Up', '<= della@mail.cup.com', 'www-data', 'local', '1362 id=20200229000554.Horde.aWcJpV6Hqlt-_-PPEEqqf4C@mail.cup.com']"
15,cup,2020,02,29,00:05:55,1j7pdi-0008JH-Up => irwin <irwin@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7pdi-0008JH-Up', '=> irwin <irwin@mail.cup.com>', 'local_user', 'mail_spool']"
16,cup,2020,02,29,00:05:55,1j7pdi-0008JH-Up Completed,4695c7f2,<*> Completed,['1j7pdi-0008JH-Up']
17,cup,2020,02,29,00:10:01,1j7phh-0008LZ-6q <= della@mail.cup.com U=www-data P=local S=6269 id=20200229001000.Horde.WV1xjZxgAZsuMh8KFDptL2k@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7phh-0008LZ-6q', '<= della@mail.cup.com', 'www-data', 'local', '6269 id=20200229001000.Horde.WV1xjZxgAZsuMh8KFDptL2k@mail.cup.com']"
18,cup,2020,02,29,00:10:01,1j7phh-0008LZ-6q => page <page@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7phh-0008LZ-6q', '=> page <page@mail.cup.com>', 'local_user', 'mail_spool']"
19,cup,2020,02,29,00:10:01,1j7phh-0008LZ-6q Completed,4695c7f2,<*> Completed,['1j7phh-0008LZ-6q']
20,cup,2020,02,29,00:11:25,1j7pj3-0008MH-Ft <= kelsey@mail.cup.com U=www-data P=local S=1215 id=20200229001125.Horde.M-oOnyrz8bG9M_ff49U_IXl@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7pj3-0008MH-Ft', '<= kelsey@mail.cup.com', 'www-data', 'local', '1215 id=20200229001125.Horde.M-oOnyrz8bG9M_ff49U_IXl@mail.cup.com']"
21,cup,2020,02,29,00:11:25,1j7pj3-0008MH-Ft => bertie <bertie@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7pj3-0008MH-Ft', '=> bertie <bertie@mail.cup.com>', 'local_user', 'mail_spool']"
22,cup,2020,02,29,00:11:25,1j7pj3-0008MH-Ft Completed,4695c7f2,<*> Completed,['1j7pj3-0008MH-Ft']
23,cup,2020,02,29,00:17:21,1j7pon-0008Np-3T <= kelsey@mail.cup.com U=www-data P=local S=1572 id=20200229001720.Horde.iR04FgaKu1puDjArGRbicFL@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7pon-0008Np-3T', '<= kelsey@mail.cup.com', 'www-data', 'local', '1572 id=20200229001720.Horde.iR04FgaKu1puDjArGRbicFL@mail.cup.com']"
24,cup,2020,02,29,00:17:21,1j7pon-0008Np-3T => maile <maile@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7pon-0008Np-3T', '=> maile <maile@mail.cup.com>', 'local_user', 'mail_spool']"
25,cup,2020,02,29,00:17:21,1j7pon-0008Np-3T Completed,4695c7f2,<*> Completed,['1j7pon-0008Np-3T']
